"title","artist","album","year","duration"
"Tech N9ne And Big Krizz Kaliko (Skit)","Tech N9ne","Absolute Power DVD Sampler",2002,""
"Call From Richie (Skit)","Tech N9ne","All 6's And 7's",2011,"0:34"
"Dr. Frazier's Office (Intro Skit)","Tech N9ne","Killer",2008,"1:20"
"MTMD (Skit)","Tech N9ne","Special Effects",2015,""
"Countdown (Skit)","Tech N9ne","Special Effects",2015,""
"Dead Alive (Skit)","Tech N9ne","Special Effects",2015,""
"More Psycho Messages (Skit)","Tech N9ne","Special Effects",2015,""
"Condolences (Skit)","Tech N9ne","Special Effects",2015,""
"Shut The F**k Up (Skit)","Tech N9ne","E.B.A.H.",2012,"0:09"
"Sundae (Skit)","Tech N9ne","K.O.D.",2009,"0:23"
"Military (Skit)","Tech N9ne","All 6's And 7's",2011,"0:21"
"Angry Caller (Skit)","Tech N9ne","All 6's And 7's",2011,"0:20"
"Bad Season Skit","Tech N9ne","Bad Season",2011,""
"We Miss You Man Man (Skit)","Tech N9ne","All 6's And 7's",2011,"0:46"
"Bootlegger (Skit)","Tech N9ne","Collabos Sickology 101",2009,""
"News With Mark Alford 1 (Skit)","Tech N9ne","Something Else",2013,""
"Jacob Wells Message (Skit)","Tech N9ne","Therapy",2013,"0:31"
"Therapy Skit Three (Skit)","Tech N9ne","Therapy",2013,"0:27"
"E.B.A.H. Landing (Skit)","Tech N9ne","E.B.A.H. & Boiling Point",2012,""
"Next Message (Skit)","Tech N9ne","E.B.A.H. & Boiling Point",2012,""
"Spelling Bee (Skit)","Tech N9ne","Collabos Sickology 101",2009,""
"Shut The Fuck Up (Skit)","Tech N9ne","E.B.A.H. & Boiling Point",2012,""
"R.I.P. Ray (Skit)","Tech N9ne","Something Else",2013,""
"Grammys (Skit)","Tech N9ne","Collabos Sickology 101",2009,""
"News With Mark Alford 3 (Skit)","Tech N9ne","Something Else",2013,""
"Karma (Skit)","Tech N9ne","Misery Loves Kompany",2007,""
"Skit","Tee Jay Blakk","Welcome 2 La$ Vega$",0,"1:05"
"Take The $ (Skit)","Tek","""Famlee First Mix Cd"" Volume I",2006,""
"Me Not Deal Wit (Skit)","Tek","""Famlee First Mix Cd"" Volume I",2006,""
"Tupac Tribute Skit","Tek","""Famlee First Mix Cd"" Volume I",2006,""
"Suffering Skit","Tenshun","Dead Resonance",2014,""
"I’m Tryin’ (Skit)","Termanology","Hood Politics III",2006,""
"G.O.Y.A. (Skit)","Termanology","G.O.Y.A. (Gunz Or Yay Available)",2013,""
"Juju (Skit)","Termanology","G.O.Y.A. (Gunz Or Yay Available)",2013,""
"Term For Mayor (Skit)","Termanology","Hood Politics",2003,""
"Hittin Da Town (Skit)","Terror (9)","T.E.R.R.O.R.",2001,""
"The Movement (Skit)","Terror Squad","We The Best",2007,"0:22"
"Skit","Texas Boys (2)","Movie & Soundtrack",2002,"0:39"
"Skit (Being Broke)","Texas Money Boyz","Still Rappin' & Trappin' Screwed & Chopped",2005,""
"Hustlers Anthem (skit)","Texas T","Gotta Get It",2002,""
"Kaos Radio (Skit)","Tha Advocate","Against The Wall",2006,"1:18"
"Hangover (Skit)","Tha Advocate","Against The Wall",2006,"0:47"
"Yo Mouth (Skit)","Tha Alkaholiks","X.O. Experience",2001,""
"Debarge Skit","Tha Alkaholiks","Likwidation",1997,"0:48"
"News Bulletin (Skit)","Tha Alkaholiks","40 Ounce Sampler",1997,""
"Bully Foot Skit","Tha Alkaholiks","X.O. Experience",2001,"0:41"
"LL Cool J Skit","Tha Alkaholiks","Likwidation",1997,"0:52"
"20th Caller Skit","Tha Alkaholiks","Likwidation",1997,"0:33"
"Nas Skit","Tha Alkaholiks","Likwidation",1997,"0:32"
"J-Ro Late Skit","Tha Alkaholiks","Likwidation",1997,"0:25"
"DeBarge Skit","Tha Alkaholiks","Likwidation",1997,"0:48"
"Commercial (Skit)","Tha Alkaholiks","40 Ounce Sampler",1997,""
"Theory (skit)","Tha Boss King","Political Views & Ghetto News",2000,""
"Blast 'Em Up (Skit)","Tha Dogg Pound","Dillinger & Young Gotti II: Tha Saga Continuez...",2005,"0:24"
"New York, New York (Main Pass No Skit)","Tha Future","New York, New York",2001,"4:02"
"New York, New York (Main Pass W/ Skit)","Tha Future","New York, New York",2001,"4:30"
"New York, New York (Acapella W/ Skit)","Tha Future","New York, New York",2001,"4:30"
"Mal Speak (Skit)","Tha Joker","The Explanation",2013,"0:17"
"Reminisce (Skit)","Tha Joker","The Explanation",2013,"1:15"
"Interview Skit","Tha Marix","Who Is Tha Marix",2005,""
"Suicide Bomber Skit","Tha Misfit","The Bastard Child Of Hip Hop",2010,"0:49"
"V.I.P Skit","Tha P.I.C Faculty","Steppaz On Tha Phonk",2003,""
"Check Up Skit Part 2","Tha Reella","Through The Eyes Of The Reella",1997,""
"Check Up Skit Part 1","Tha Reella","Through The Eyes Of The Reella",1997,""
"GM Radio (Skit) (2)","Tha Wanted Gang","Big Homie Muzic : Volume 1",2010,"0:15"
"GM Radio (Skit) (4)","Tha Wanted Gang","Big Homie Muzic : Volume 1",2010,"0:52"
"GM Radio (Skit)","Tha Wanted Gang","Big Homie Muzic : Volume 1",2010,"0:46"
"GM Radio (Skit) (3)","Tha Wanted Gang","Big Homie Muzic : Volume 1",2010,"0:29"
"GM Radio (Skit) (5)","Tha Wanted Gang","Big Homie Muzic : Volume 1",2010,"0:29"
"Shit Skit","ThaGodFahim","Shadows Over Nazereth",2015,"2:04"
"Black Ninja Skit","ThaGodFahim","Shadows Over Nazereth",2015,"1:26"
"Skit-Song-13","The 3rd Message","The 3rd Message : A Compilation",2000,"2:55"
"Statik's Solo Shit (Skit)","The Animal Pharm","You Will Lose",2000,""
"Give Me A Beat (Skit)","The Baby Girlz","Girlz World",2009,""
"The Datin Game (Skit)","The Bad Seed","Dirty Urine",2006,""
"Skit","The Ballaticians","Right Now",2003,""
"Skit (Hooks R Us)","The Basiqs","Your Life Is Calling",2007,"1:10"
"Sounds Of The Ghetto Skit","The Beatnuts","The Originators",2002,""
"Drunk Skit","The Beatnuts","The Originators",2002,""
"Skit","The Belly Of The Beast","The Album",1997,""
"Skit-4","The Big Bully Boys","Break'en Bread",2002,""
"Skit-3","The Big Bully Boys","Break'en Bread",2002,""
"Skit-2","The Big Bully Boys","Break'en Bread",2002,""
"Skit-1","The Big Bully Boys","Break'en Bread",2002,""
"Gymshoes (Skit)","The Big Dog (2)","Call It What'cha Want",1995,"0:49"
"Intro (Skit)","The Big Dog (2)","Call It What'cha Want",1995,"0:57"
"Outro (Skit)","The Big Dog (2)","Call It What'cha Want",1995,"3:10"
"Bud 2 (Skit)","The Big Dog (2)","Call It What'cha Want",1995,"1:37"
"Where's The Party At (Skit)","The Blaxicans","Rain",2004,""
"Skills (Skit)","The C.O.R.E. ","Metropolis",2004,""
"Metropolis Video (Skit)","The C.O.R.E. ","Metropolis",2004,""
"Game Over (Skit)","The C.O.R.E. ","Metropolis",2004,""
"Owe Me / Sista Calhoun (Skit)","The Calhouns","Made In The Dirdy South",2002,"4:20"
"Outfits / Calhoun Kids (Skit)","The Calhouns","Made In The Dirdy South",2002,"5:14"
"Slapped / Who Knockin' (Skit)","The Calhouns","Made In The Dirdy South",2002,"4:28"
"Kingpinz / Flagman Outro (Skit)","The Calhouns","Made In The Dirdy South",2002,"3:50"
"Country / The Look (Skit)","The Calhouns","Made In The Dirdy South",2002,"4:59"
"Run It / Sista Calhoun (Skit)","The Calhouns","Made In The Dirdy South",2002,"4:02"
"Calhoun Music / Cry Baby (Skit)","The Calhouns","Made In The Dirdy South",2002,"4:38"
"Old Nat'l / Sess Bowl (Skit)","The Calhouns","Made In The Dirdy South",2002,"4:00"
"Pimpsy (Skit)","The Cherry Chuck Gang","Where In The World Is Don Diego?",2008,""
"Mikey OP (Skit)","The Cherry Chuck Gang","Where In The World Is Don Diego?",2008,""
"Mob Skit-Phone Call #2","The Chicago Outfitters","St. Valentine's Day Massacre",1999,""
"Mob Skit-Phone Call #1","The Chicago Outfitters","St. Valentine's Day Massacre",1999,""
"Skit Don Won","The Chicago Outfitters","St. Valentine's Day Massacre",1999,""
"Pimpin' ""Ken"" Skit","The Chicago Outfitters","St. Valentine's Day Massacre",1999,""
"Intro Skit","The Chicago Outfitters","St. Valentine's Day Massacre",1999,""
"Sick Wid It Special (Skit)","The Click (2)","Money & Muscle",2001,""
"Get Down Skit","The Coleo Cartel","Born 4 War",2001,""
"Good Kisser Skit","The Conglomerate (2)","Catastrophic 2",2014,"0:36"
"Sneakin' In / Do My Thang (Skit)","The Coup","Steal This Album",1998,""
"Do My Thang (Skit)","The Coup","Steal This Album",1998,""
"Pizza Man (Skit)","The Coup","Steal This Album",1998,""
"Field Of Dreams (Skit)","The Crest (3)","Sublimation",2001,""
"Break Bread Skit","The D Boys","Life Of A D-Boy",2009,"1:30"
"D-Fresh (Skit)","The Done Deal Family","Runs In The Family",2002,""
"Skit - Roll 2 Tha Club","The Donz","Sex Lies And Audio Tape/Tata + Brando",2002,""
"(SKIT)","The Faculty (4)","Group Therapy",2001,""
"Skit","The Foundation (10)","Built From Scratch",2000,""
"G-Unot Skit","The Game (2)","You Know What It Is, Vol. 3",2006,"1:34"
"Gayo (Skit)","The Game (2)","Stop Snitchin Stop Lyin - Original Street Soundtrack",2005,"1:24"
"Mr. Ratt (Skit)","The Gaslamp Killer","I Spit On Your Grave",2008,""
"I Hate You (Skit)","The Godfathers (3)","Once Upon A Crime",2013,""
"Punched Dead In The Face (Skit)","The Godfathers (3)","Once Upon A Crime",2013,""
"Possie Skit","The Govenor","Floss Mode",1995,""
"25 2 Life Skit","The Govenor","Floss Mode",1995,""
"Haters (Skit)","The Grind Family","In The Grind We Trust",1999,""
"Ay Yo (Skit)","The High & Mighty","Home Field Advantage",1999,"0:26"
"Hedley (Skit)","The High & Mighty","Air Force 1",2002,""
"Newman (Skit)","The High & Mighty","Home Field Advantage",1999,"1:12"
"And Then (Skit)","The High & Mighty","Air Force 1",2002,""
"Papers Please (Skit)","The High & Mighty","Home Field Advantage",1999,"0:45"
"Skit","The Hoodfellaz (2)","From Grind'n To Shin'n",2005,"0:50"
"Hq Radio Skit - Community Ad","The Icepick"," Revelation 13:9 - The Anthology",2013,"4:26"
"(Skit D)","The Isolationist","Orators Of Advanced Thought",1998,""
"(Skit E)","The Isolationist","Orators Of Advanced Thought",1998,""
"(Skit A)","The Isolationist","Orators Of Advanced Thought",1998,""
"(Skit B)","The Isolationist","Orators Of Advanced Thought",1998,""
"(Skit C)","The Isolationist","Orators Of Advanced Thought",1998,""
"Legion (Movie Skit)","The J. Hexx Project","The Possession Of Annabelle Lee",2015,"0:26"
"New York Ripper Strikes (Skit)","The J. Hexx Project","The Seven Doorz To Death EP / Twitch Of The Deadz Nervez",2008,"0:58"
"Annabelle is Saved (Movie Skit)","The J. Hexx Project","The Possession Of Annabelle Lee",2015,"0:28"
"The New York Ripper Strikes Again (Outro Skit)","The J. Hexx Project","The Seven Doorz To Death EP / Twitch Of The Deadz Nervez",2008,"0:43"
"I Am Father Thomas (Skit)","The J. Hexx Project","The Possession Of Annabelle Lee",2015,"1:24"
"The Book of the Seven Gates (Skit)","The J. Hexx Project","The Possession Of Annabelle Lee",2015,"1:05"
"Eternal Soul of Hell (Movie Skit)","The J. Hexx Project","The Possession Of Annabelle Lee",2015,"2:24"
"Malabimba's Origin (Movie Skit)","The J. Hexx Project","The Possession Of Annabelle Lee",2015,"0:45"
"His Holy Secret (Movie Skit)","The J. Hexx Project","The Possession Of Annabelle Lee",2015,"0:38"
"Anna Attacks (Movie Skit)","The J. Hexx Project","The Possession Of Annabelle Lee",2015,"0:15"
"The Get 'Em Skit","The J. Hexx Project","The Seven Doorz To Death EP / Twitch Of The Deadz Nervez",2008,"3:05"
"Pee Knuckle (Skit)","The Knux","Remind Me In 3 Days...",2008,"1:42"
"Words From Capt Jack (Skit)","The Last Emperor","Hidden Treasure",2006,""
"The Banger (Skit)","The Last Emperor","Hidden Treasure",2006,""
"Kermit On The Check In (skit)","The Last Emperor","Hidden Treasure",2006,""
"D.G. Skit","The Likwit Junkies","The L.J.'s",2005,"2:49"
"Watch Me Do Me - Classy Skit #2","The Lonely Island","Turtleneck & Chain",2011,"0:27"
"Falcor Vs. Atreyu - Classy Skit #1","The Lonely Island","Turtleneck & Chain",2011,"0:29"
"Skit","The Lost G's","Watch Them Boyz",2001,""
"Brains...Take One (Skit)","The Lox","We Are The Streets",2000,"0:58"
"Rape'n U Records (Skit)","The Lox","We Are The Streets",2000,"2:39"
"Intro (Skit)","The Lox","We Are The Streets",2000,""
"Built For Bodies (Skit)","The Lox","We Are The Streets",2000,"1:06"
"Let Me Hit Your Wife (Skit)","The Lox","The Trinity: 3rd Sermon",2015,"0:54"
"Jailhouse (Skit)","The Man They Call Lux","The EP",1996,"1:30"
"Skit","The Pharcyde","Testing The Waters",2000,""
"Quinton's On The Way (Skit)","The Pharcyde","Bizarre Ride II The Pharcyde",2012,""
"If I Were President (Skit)","The Pharcyde","Bizarre Ride II The Pharcyde",2012,""
"It's Jiggaboo Time (Skit)","The Pharcyde","Bizarre Ride II The Pharcyde",2012,""
"It's Jigaboo Time (Skit)","The Pharcyde","Bizarre Ride II The Pharcyde",1992,"1:26"
"Xtra, Xtra (Skit)","The Showboys","YIIG'$",2000,"1:26"
"Da Hideout (Skit)","The Showboys","YIIG'$",2000,"0:32"
"Xtra Xtra (skit)","The Showboys","YIIG'$",2000,""
"Da Get Away (Skit)","The Showboys","YIIG'$",2000,"0:25"
"Da Threat (Skit)","The Showboys","YIIG'$",2000,"0:30"
"Skit 2","The X-ecutioners","Revolutions",2004,"2:05"
"Hip Hop Awards (Skit)","The X-Ecutioners","Built From Scratch",2002,"2:49"
"Skit 1","The X-ecutioners","Revolutions",2004,"1:58"
"Skit 2","The X-Ecutioners","Revolutions",2004,"2:05"
"Skit 4","The X-Ecutioners","Revolutions",2004,"0:39"
"Skit 3","The X-Ecutioners","Revolutions",2004,"1:16"
"Skit 4","The X-ecutioners","Revolutions",2004,"0:39"
"Who Wants To Be A M*****F**kin' Millionaire (Skit)","The X-Ecutioners","Built From Scratch",2002,"2:47"
"You Can't Scratch (Skit)","The X-Ecutioners","Built From Scratch",2002,"1:21"
"Skit 3","The X-ecutioners","Revolutions",2004,"1:16"
"Skit 1","The X-Ecutioners","Revolutions",2004,"1:58"
"U.S.A. (Skit)","Thirstin Howl III","Licensed To Skill",2003,""
"Skit","Thirstin Howl III","Thirsty, Greedy",1998,""
"The Examination (Skit)","Thirstin Howl III","Licensed To Skill",2003,""
"One Sip (Skit)","Thirsty Fish","Testing The Waters",2008,""
"Producer On The Celly .... Skit","Thought Breakers","EPisode I",2003,"0:37"
"Outro (Skit)","Three 6 Mafia","Hypnotize Camp Posse",2000,"3:34"
"Hook Up W/ Hoes (Skit)","Three 6 Mafia","When The Smoke Clears - Sixty 6, Sixty 1",2000,"0:39"
"The Restauraunt Scene (Skit)","Three 6 Mafia","Choices: The Album",2001,"0:40"
"Skit","Three 6 Mafia","Most Known Unknown",2005,"0:26"
"Skit #3","Three 6 Mafia","Choices II: The Setup",2005,"0:47"
"1st Crime Scene (Skit)","Three 6 Mafia","Choices: The Album",2001,"0:40"
"Skit 2","Three 6 Mafia","Prophet Entertainment Greatest Hits",2007,""
"Restauraunt Visit (Skit)","Three 6 Mafia","Choices The Soundtrack",0,""
"How It Went Down (Skit)","Three 6 Mafia","Choices The Soundtrack",0,""
"Skit 1","Three 6 Mafia","Prophet Entertainment Greatest Hits",2007,""
"Big Pat's Warehouse (Skit)","Three 6 Mafia","Choices The Soundtrack",0,""
"Rinky Dink Records (Skit)","Three 6 Mafia","Hypnotize Camp Posse",2000,"3:54"
"Telephone Groupie (Skit)","Three Times Dope","The Sequel",2011,""
"Get Like Me (Skit)","Thrill Da Playa","Presents The Best Of Homebass Vol. 1",1999,"0:40"
"Dats Just Like Trickin' (Skit)","Thrill Da Playa","Presents The Best Of Homebass Vol. 1",1999,"0:43"
"Instructions (Skit)","Thrill Da Playa","Broamz, Chrome & Redbone",2003,"0:45"
"Skit","Thrill Da Playa","The Return Of Big Bronco",2001,""
"Da Flaugher (Skit)","Thrill Da Playa","Presents The Best Of Homebass Vol. 1",1999,"0:39"
"College (Skit)","Thrill Da Playa","Broamz, Chrome & Redbone",2003,"1:55"
"The Hater (Outro) Skit","Thrill Da Playa","Presents The Best Of Homebass Vol. 1",1999,"0:50"
"Two Train Ya'll (Skit)","Timbo King","Throw Black Series 3 & 4",2005,""
"Gangsta Skit","Timbo King","Gangsta Chronicles",2003,""
"Skit: Timbo King Stared Bravehearts","Timbo King","Throw Black Series Part 1",2004,""
"Skit: Pro Black Throw-Black II","Timbo King","Throw Black Series Part 2",2004,""
"Skit: Travel The World","Timbo King","Throw Black Series Part 1",2004,""
"Skit: Pro Black Throw-Black III","Timbo King","Throw Black Series Part 2",2004,""
"Skit: Pro Black Throw-Black IV","Timbo King","Throw Black Series Part 2",2004,""
"Skit: Fresh Pair","Timbo King","Throw Black Series Part 1",2004,""
"Skit: Pro Black Throw-Black I","Timbo King","Throw Black Series Part 2",2004,""
"Skit: Remember Timbo","Timbo King","Throw Black Series Part 1",2004,""
"Train Track Intro [Skit]","Timbo King","Throw Black Series 3 & 4",2005,""
"Skit: Pro Black Throw-Black V","Timbo King","Throw Black Series Part 2",2004,""
"Skit","Timbo King","Presents 56 Platoon",2004,""
"Thes One Sez (Skit)","Time Machine (2)","Vicious Experiments",2012,"1:32"
"Baller Skit","Tina (45)","Let's Ride",2002,""
"Ladies Night Skit","Tina (45)","Let's Ride",2002,""
"Takeover Skit","Titty Boy","Trap-A-Velli",2009,"1:10"
"The Bored Room (Skit)","Tiye Phoenix","Half Woman Half Amazin'",2009,""
"(The Deal) Skit","Tizzle","Spittin' Like Fire",2002,""
"Skit - Voicemail #2","TJ Miller (2)","The Extended Play E.P.",2011,"0:51"
"Skit - Voicemail #1","TJ Miller (2)","The Extended Play E.P.",2011,"0:57"
"Skit - Voicemail #3","TJ Miller (2)","The Extended Play E.P.",2011,"0:56"
"Skit - The Unstoppable Aftermath With Dewey And Gileece","TJ Miller (2)","The Extended Play E.P.",2011,"1:18"
"Skit - Chez Davis","TJ Miller (2)","The Extended Play E.P.",2011,"2:02"
"Skit","Toe Joe","Inspiration 9/11",2003,"0:35"
"Gangsta Talk (Skit)","Toez (2)","If They Take Me",2004,""
"Def B/4 Dis (Skit)","Tommy Gunn","Black Jesus",2002,"0:48"
"NSFW Skit","Tone Spliff","Authentic",2009,""
"Lunch Break Skit","Tone Spliff","Work Ethics",2011,""
"Leena Bangz (Skit)","Tonedeff","Underscore",2003,""
"I Wanna Know (Skit)","Toni Hill","Only Love",2008,""
"Trenton Skit","Tony D","Master Of The Moaning Beats",2001,""
"Raza Skit","Tony Montana (2)","Book 1: The Come Up",2001,""
"Lester Part One (Skit)","Tony Patagonia","Art Of The Hustle",2015,"1:19"
"Lester Part Three (Skit)","Tony Patagonia","Art Of The Hustle",2015,"0:55"
"Lester Part Two (Skit)","Tony Patagonia","Art Of The Hustle",2015,"1:11"
"Power 105.1 Skit","Tony Touch","The ReggaeTony Album",2005,"0:43"
"Pre-Game Skit","Tony Touch","#57 - Wreckin' Shit",1998,""
"Battle Skit 2","Tony Touch","The Piece Maker 2",2004,"0:47"
"Battle Skit 1","Tony Touch","The Piece Maker 2",2004,"0:52"
"Skit","Too Much Trouble","Bringing Hell On Earth Screwed",2006,""
"Break The Cycle (Skit)","Toobizzy Mc","Tragic Phenomena",1999,""
"Fatal Attraction Skit","Toobizzy Mc","Tragic Phenomena",1999,""
"Death Of Eda (Skit)","TooSmooth","The Come Up Vol.3 (Signed)",2013,"00:32"
"(Hater Skit)","Toot (3)","World News",2005,""
"(Skit)","Toot (3)","World News",2005,""
"Skit","Total Corruption","World Chaos",2004,""
"Skit","Toyster","Play Time",2000,""
"Intro Skit","Toyster","Play Time",2000,""
"Skit - Pnutt","TQ","Presents - Headbeaterz Compilation Vol.1",2001,""
"Skit - Glamour Girls","TQ","Presents - Headbeaterz Compilation Vol.1",2001,""
"Skit - Vandalz","TQ","Presents - Headbeaterz Compilation Vol.1",2001,""
"Leaving On A Jet Plane Skit","Trademark Da Skydiver","Jet Life To The Next Life",2011,""
"Midnight Plane Skit","Trademark Da Skydiver","Jet Life To The Next Life",2011,""
"Word Of Pimpin (Skit)","Trae","Losing Composure",2003,""
"Guerilla Maab 4 Life (Skit)","Trae","Losing Composure",2003,""
"Bad Ass Lil Bam (Skit)","Trae","Tha Truth Show",2007,"0:21"
"Lil Jared (Skit)","Trae","Later Dayz",2006,"0:21"
"Yung Chris (Skit)","Trae","Tha Truth Show",2007,"0:10"
"Tha Phone Call (Skit)","Trae","Later Dayz",2006,"0:17"
"Trae And Grey (Skit)","Trae","Tha Truth Show",2007,"0:21"
"Skit","Trae","Later Dayz",2006,"0:22"
"Bonus Shit (Skit)","Trae","Later Dayz",2006,"0:11"
"Skit (Screwed & Chopped)","Trae","Later Dayz",2006,""
"What It Is (Skit) (Screwed & Chopped)","Trae","Later Dayz",2006,""
"A Word For The Ladies (Skit)","Trae","Later Dayz",2006,"0:13"
"What It Is (Skit)","Trae","Later Dayz",2006,"1:02"
"The Phone Call (Skit) (Screwed & Chopped)","Trae","Later Dayz",2006,""
"Clip (Skit)","Trae","Tha Truth Show",2007,"0:17"
"Bonus Shit (Skit) (Screwed & Chopped)","Trae","Later Dayz",2006,""
"Lil' Jared (Skit) (Screwed & Chopped)","Trae","Later Dayz",2006,""
"A Word For The Ladies (Skit) (Screwed & Chopped)","Trae","Later Dayz",2006,""
"Skit 2: The Jump Off","Tragedy Khadafi","Against All Odds",2001,"1:06"
"Skit 3: More Thugg More Names","Tragedy Khadafi","Against All Odds",2001,"2:37"
"Wake The Dead (Black Aura Skit)","Tragedy Khadafi","Still Reportin...",2003,""
"Skit","Tragedy Khadafi","The Death Of Tragedy",2007,""
"Smoke 1 (Skit)","Tramp 1-8","L.I.T.",2001,""
"Dispite What You Think (Skit)","Trash Heap","Dirty Laundry",2006,"0:23"
"First Glance (Skit)","Trash Heap","Dirty Laundry",2006,"0:09"
"Dangerous White Men (Skit)","Trash Heap","Dirty Laundry",2006,"0:05"
"Ever Consider? (Skit)","Trash Heap","Dirty Laundry",2006,"0:44"
"M.L.K. (Skit)","Trash Heap","Dirty Laundry",2006,"0:24"
"Skit","Travis Barker","Let The Drummer Get Wicked",2011,"0:09"
"Skit 1","Travis Porter","3 Live Krew",2015,""
"Skit 2","Travis Porter","3 Live Krew",2015,""
"Skit","Tre-8","Fright Night Reloaded - Collectors Edition",2006,""
"Do It Baby (Skit)","Tre-8","Most Underrated",2008,""
"Fuck Dat (Skit)","Tre-8","Armageddon",1999,""
"1/2 Pint's Hot Spot Radio Show (Skit)","Tre-8","2 Hot 4 TV",2002,""
"When We Meet Again (Skit)","Trebles & Blues","From My Father",2013,"1:09"
"Thump In The Trunk (Skit)","Trick Daddy","Thugs Are Us",2001,"1:13"
"Intro Skit: Only 1 Mayor","Trick Daddy","Finally Famous: Born A Thug, Still A Thug",2009,"0:22"
"She's Fiendin' (Skit)","Trick Daddy","Thug Holiday",2002,"0:55"
"Skit","Trick Daddy","Thug Matrimony: Married To The Streets",2004,"0:43"
"Skit: Macking Jean","Trick Daddy","Finally Famous: Born A Thug, Still A Thug",2009,"0:10"
"Hoe Skit","Trick Daddy","Book Of Thugs: Chapter AK Verse 47",2000,"0:35"
"Skit: The Collection Call","Trick Daddy","Finally Famous: Born A Thug, Still A Thug",2009,"1:13"
"Skit: The Mayor's Office","Trick Daddy","Finally Famous: Born A Thug, Still A Thug",2009,"1:48"
"Skit: The Pick Up","Trick Daddy","Finally Famous: Born A Thug, Still A Thug",2009,"0:50"
"SNS / Roland (Skit)","Trick Daddy","Thug Holiday (Clean)",2002,""
"Telephone Skit","Trick Daddy","Based On A True Story",1997,""
"Who's Selling? (Skit)","Trick Daddy","Thug Holiday",2002,"0:28"
"Skit - Soulja Boy Intervieuw","Trigger The Soldier","For The Love Of The Music",2008,"2:21"
"Voicemail Skit","Triggerman (2)","Fearless",2009,"3:29"
"Shot Put (Skit)","Trilltown Mafia","It Goes Without Sayin",2006,""
"Hater Skit","Trillville","3 Da' Hard Way",2011,""
"Busted Skit","Trina","Diamond Princess",2002,""
"Club Skit","Trina","Da Baddest B***h",2000,"1:11"
"Answering Machine Skit","Trina","Da Baddest B***h",2000,"0:38"
"Hair Dresser Skit","Trina","Da Baddest B***h",2000,"0:36"
"Dr. Dick Em' Down - Skit","Triple Darkness (3)","Comin Up From Da Darkness",2000,""
"Who Got Weed? - Skit","Triple Darkness (3)","Comin Up From Da Darkness",2000,""
"Can I Hear Some More Scratchin? (Skit)","Triple Threat (3)","Many Styles",2003,""
"Can You Play Some Chune? (Skit)","Triple Threat (3)","Many Styles",2003,""
"Can I Get The Mic? (Skit)","Triple Threat (3)","Many Styles",2003,""
"Aye Mang? (Skit)","Triple Threat (3)","Many Styles",2003,""
"The Green Room (Skit)","Triple Threat (3)","Many Styles",2003,""
"Hey DJ (Skit)","Triple Threat (3)","Many Styles",2003,""
"Skit","Triz (2)","Not Cocky, Just Confident",2007,"1:37"
"Give Me My Bitch Back! (Skit)","Trouble (20)","Green Light",2011,"0:59"
"One Legged Interview (Skit)","Troy Walsh","Country Clubbin",2003,""
"Hidden Camera (Skit)","Troy Walsh","Country Clubbin",2003,""
"Runnin Man Skit (Dipset Diss)","Tru-Life","Tru York",2007,""
"Hot 97.1 Megatron Skit","Truck (2)","Hurt - Hunger - Pain",2006,""
"Skit","Truck (2)","Hurt - Hunger - Pain",2004,""
"Skit","Truth Enola","6 O'Clock Straight",2004,""
"Freestyle Skit Part One","Try-D","And The Midwest Allstarz",2001,""
"I-Ball Skit","Try-D","And The Midwest Allstarz",2001,""
"Freestyle Skit Part Three","Try-D","And The Midwest Allstarz",2001,""
"Freestyle Skit Part Two","Try-D","And The Midwest Allstarz",2001,""
"Construction (Skit)","Tunsi","The Omen",2001,""
"Magic Show (Skit)","Tunsi","The Omen",2001,""
"Army (Skit)","Tunsi","The Omen",2001,""
"Killya (Skit)","Tunsi","The Omen",2001,""
"Church / Skit","Turbin","Born With Nothing... Die With Nothing",2005,"1:33"
"2Sense (Skit)","Turbin","Everything Is Everything",2003,"3:47"
"Run It / Skit","Turbin","Born With Nothing... Die With Nothing",2005,"1:03"
"Liquor Store (Skit)","Turf Talk","West Coast Vaccine (The Cure)",2007,"1:28"
"Record Company (Skit)","Turf Talk","West Coast Vaccine (The Cure)",2007,"0:58"
"Intro (Skit)","Turk (2)","Young & Thuggin' ",2001,"1:53"
"Hatin' (Skit)","Turk (2)","Young & Thuggin' ",2001,"1:09"
"Lady Turk (Skit)","Turk (2)","Still A Hot Boy",2005,""
"Seattle Slew (Skit)","Turk (2)","Young & Thuggin' ",2001,"1:23"
"Police (Skit)","Turk (2)","Young & Thuggin' ",2001,"0:22"
"Finna Records (Skit)","Turk (2)","Young & Thuggin'",2001,"2:08"
"Public Service Annoucement (Skit)","Turk (2)","Young & Thuggin'",2001,"1:30"
"T-Gizel (Skit)","Turk (2)","Still A Hot Boy",2005,""
"Real Gangsta Shit (Skit)","Tweedy Bird Loc","No Holds Barred",1994,"1:01"
"One Skit","Twista","Suicide 2010",2010,""
"Scat Skit","Twista","Suicide 2010",2010,""
"What Would Twista Do If He Wasn't Rappin'? (Skit)","Twista","Adrenaline Rush 2007",2007,""
"Ya With It Or Ya Ain't (Skit)","Twista","Adrenaline Rush 2007",2007,""
"That T Is (Skit)","Twista","Adrenaline Rush 2007",2007,""
"Phone (Skit)","Twista","Adrenaline Rush 2007",2007,""
